,Tweets,len,ID,Date,Source,Likes,RTs,SA
146,"Thank you to General John Kelly, who is doing a fantastic job, and all of the Staff and others in the White House,… https://t.co/q4hhzEEjor",139,9.55806E+17,1/23/2018 14:16,Twitter for iPhone,97833,21562,1
147,"Nobody knows for sure that the Republicans &amp; Democrats will be able to reach a deal on DACA by February 8, but ever… https://t.co/2qBHLtCo1u",144,9.55796E+17,1/23/2018 13:34,Twitter for iPhone,112847,24064,1
148,"In one of the biggest stories in a long time, the FBI now says it is missing five months worth of lovers Strzok-Pag… https://t.co/Zwg2yDeEwz",140,9.55771E+17,1/23/2018 11:55,Twitter for iPhone,134724,36743,1
149,Even Crazy Jim Acosta of Fake News CNN agrees: “Trump World and WH sources dancing in end zone: Trump wins again...… https://t.co/X4ncbncUqi,140,9.55765E+17,1/23/2018 11:31,Twitter for iPhone,129439,27263,-1
150,"Big win for Republicans as Democrats cave on Shutdown. Now I want a big win for everyone, including Republicans, De… https://t.co/jzJKY5vaAz",140,9.55659E+17,1/23/2018 4:30,Twitter for iPhone,133687,28058,1
151,End the Democrats Obstruction! https://t.co/tzBXilvW1b,54,9.55458E+17,1/22/2018 15:13,Twitter for iPhone,93237,21653,0
152,Democrats have shut down our government in the interests of their far left base. They don’t want to do it but are powerless!,124,9.55429E+17,1/22/2018 13:15,Twitter for iPhone,109762,22218,-1
153,The Democrats are turning down services and security for citizens in favor of services and security for non-citizens. Not good!,127,9.55427E+17,1/22/2018 13:07,Twitter for iPhone,132279,33321,-1
154,Thank you to Brad Blakeman on @FoxNews for grading year one of my presidency with an “A”-and likewise to Doug Schoe… https://t.co/RnE8Gh9xnh,140,9.55249E+17,1/22/2018 1:21,Twitter for iPhone,126904,23606,0
155,Great to see how hard Republicans are fighting for our Military and Safety at the Border. The Dems just want illega… https://t.co/px3zwtzYOV,140,9.55056E+17,1/21/2018 12:35,Twitter for iPhone,178560,47525,1
156,RT @realDonaldTrump: Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that hap…,140,9.55052E+17,1/21/2018 12:20,Twitter for iPhone,0,44627,-1
157,"RT @FoxNews: .@EricTrump: ""My father was elected for one reason, and that's because he actually believes in putting America first, which is…",140,9.54905E+17,1/21/2018 2:34,Twitter for iPhone,0,14314,1
158,"RT @FoxNews: .@KellyannePolls: ""Since @POTUS took office, 863,000 new jobs were filled by women. Over half a million American women have en…",140,9.54905E+17,1/21/2018 2:33,Twitter for iPhone,0,14484,1
159,"RT @FoxNews: .@davidwebbshow: ""Let's look at the calendar. It's January 20th. DACA expires on March 5th. That means this was a construct of…",140,9.54904E+17,1/21/2018 2:31,Twitter for iPhone,0,13073,0
160,"RT @FoxNews: .@EricTrump: ""People have seen a year that's incredible, that's been filled with nothing but the best for our country, America…",140,9.54904E+17,1/21/2018 2:31,Twitter for iPhone,0,7352,1
161,Eric Trump on @JudgeJeanine on @FoxNews now!,44,9.54901E+17,1/21/2018 2:18,Twitter for iPhone,46690,6350,0
162,"The Trump Administration has terminated more UNNECESSARY Regulation, in just twelve months, than any other Administ… https://t.co/SFS1cXtdx5",140,9.54878E+17,1/21/2018 0:47,Twitter for iPhone,154608,31730,-1
163,RT @realDonaldTrump: Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our danger…,140,9.54876E+17,1/21/2018 0:40,Twitter for iPhone,0,42337,1
164,"Unprecedented success for our Country, in so many ways, since the Election. Record Stock Market, Strong on Military… https://t.co/S9Vev9LI6r",140,9.54844E+17,1/20/2018 22:31,Twitter for iPhone,130649,28867,1
165,"Beautiful weather all over our great country, a perfect day for all Women to March. Get out there now to celebrate… https://t.co/0mof82VUry",139,9.54788E+17,1/20/2018 18:51,Twitter for iPhone,209082,53343,1
166,Democrats are holding our Military hostage over their desire to have unchecked illegal immigration. Can’t let that happen!,122,9.54722E+17,1/20/2018 14:27,Twitter for iPhone,168504,44627,-1
167,#AMERICA FIRST!,15,9.54682E+17,1/20/2018 11:47,Twitter for iPhone,123389,31638,1
168,"For those asking, the Republicans only have 51 votes in the Senate, and they need 60. That is why we need to win mo… https://t.co/VAQ4O1yYv5",140,9.54681E+17,1/20/2018 11:44,Twitter for iPhone,154740,40006,1
169,This is the One Year Anniversary of my Presidency and the Democrats wanted to give me a nice present. #DemocratShutdown,119,9.54678E+17,1/20/2018 11:33,Twitter for iPhone,123816,30418,1
170,Democrats are far more concerned with Illegal Immigrants than they are with our great Military or Safety at our dan… https://t.co/eHAkBL3AjB,140,9.54674E+17,1/20/2018 11:17,Twitter for iPhone,144774,42337,1
171,Not looking good for our great Military or Safety &amp; Security on the very dangerous Southern Border. Dems want a Shu… https://t.co/Zs62ydrvwQ,144,9.54541E+17,1/20/2018 2:28,Twitter for iPhone,117351,31219,1
172,Excellent preliminary meeting in Oval with @SenSchumer - working on solutions for Security and our great Military t… https://t.co/EC7lpgkNxk,140,9.54478E+17,1/19/2018 22:17,Twitter for iPhone,64895,13032,1
173,Just signed 702 Bill to reauthorize foreign intelligence collection. This is NOT the same FISA law that was so wron… https://t.co/20fZau7RFT,140,9.54457E+17,1/19/2018 20:53,Twitter for iPhone,128894,27856,-1
174,"Today, I was honored and proud to address the 45th Annual @March_for_Life! You are living witnesses of this year’s… https://t.co/eZL7D5NtYg",139,9.54423E+17,1/19/2018 18:39,Twitter for iPhone,96677,24907,1
175,"“Shutting down the government is a very serious thing. People die, accidents happen. I don’t know how I would vote… https://t.co/UdjOG3Ynvl",139,9.5439E+17,1/19/2018 16:28,Twitter for iPhone,49645,15522,-1
176,".@WhiteHouse Briefing with Director Marc Short and Director Mick Mulvaney...
https://t.co/0O0VsYXmHB",100,9.54386E+17,1/19/2018 16:14,Twitter for iPhone,44069,8506,0
177,Government Funding Bill past last night in the House of Representatives. Now Democrats are needed if it is to pass… https://t.co/xK33TIW16o,139,9.54324E+17,1/19/2018 12:04,Twitter for iPhone,110733,25909,-1
178,House of Representatives needs to pass Government Funding Bill tonight. So important for our country - our Military needs it!,125,9.54136E+17,1/18/2018 23:39,Twitter for iPhone,101874,20278,1
179,"AMERICA will once again be a NATION that thinks big, dreams bigger, and always reaches for the stars. YOU are the o… https://t.co/VYcBBrQ3pG",140,9.54097E+17,1/18/2018 21:04,Twitter for iPhone,103401,26067,0
180,"Departing Pittsburgh now, where it was my great honor to stand with our incredible workers, and to show the world t… https://t.co/hig8AOxDFs",140,9.54092E+17,1/18/2018 20:45,Twitter for iPhone,75914,15223,1
181,A government shutdown will be devastating to our military...something the Dems care very little about!,102,9.53988E+17,1/18/2018 13:49,Twitter for iPhone,90739,21791,-1
182,"CHIP should be part of a long term solution, not a 30 Day, or short term, extension!",84,9.53985E+17,1/18/2018 13:37,Twitter for iPhone,62643,12025,-1
183,We need the Wall for the safety and security of our country. We need the Wall to help stop the massive inflow of dr… https://t.co/wlyEE41v2w,140,9.53979E+17,1/18/2018 13:16,Twitter for iPhone,123802,29085,0
184,"Will be going to Pennsylvania today in order to give my total support to RICK SACCONE, running for Congress in a Sp… https://t.co/zPK4tKI6Vp",140,9.53974E+17,1/18/2018 12:53,Twitter for iPhone,85458,17162,0
185,"....The Wall will be paid for, directly or indirectly, or through longer term reimbursement, by Mexico, which has a… https://t.co/J09b17pLIi",140,9.53951E+17,1/18/2018 11:25,Twitter for iPhone,112146,28074,1
186,"The Wall is the Wall, it has never changed or evolved from the first day I conceived of it. Parts will be, of neces… https://t.co/3UJscR3WGL",140,9.53949E+17,1/18/2018 11:15,Twitter for iPhone,94471,21539,1
187,"ISIS is in retreat, our economy is booming, investments and jobs are pouring back into the country, and so much mor… https://t.co/pXV43doqxa",140,9.53797E+17,1/18/2018 1:11,Twitter for iPhone,178874,39853,1
188,"Despite some very corrupt and dishonest media coverage, there are many great reporters I respect and lots of GOOD N… https://t.co/XtmYEpRDAu",140,9.53796E+17,1/18/2018 1:05,Twitter for iPhone,112171,22358,1
189,"And the FAKE NEWS winners are...
https://t.co/59G6x2f7fD",56,9.53794E+17,1/18/2018 1:00,Twitter for iPhone,112222,41296,-1
190,Main Street is BACK! Strongest Holiday Sales bump since the Great Recession -- beating forecasts by BILLIONS OF DOL… https://t.co/NzP72Zarmr,140,9.53773E+17,1/17/2018 23:36,Twitter for iPhone,68103,15558,1
191,"During the campaign, I promised to MAKE AMERICA GREAT AGAIN by bringing businesses and jobs back to our country. I… https://t.co/OQ1fA6odh7",139,9.53772E+17,1/17/2018 23:32,Twitter for iPhone,99097,24609,1
192,I promised that my policies would allow companies like Apple to bring massive amounts of money back to the United S… https://t.co/aWutB2fro3,140,9.53771E+17,1/17/2018 23:28,Twitter for iPhone,92293,24358,0
193,"Today, we witnessed an incredible moment in history – the presentation of Congress’ highest civilian honor to our f… https://t.co/svBhsLy1By",140,9.53769E+17,1/17/2018 23:19,Media Studio,75122,15489,1
194,Eric Trump on @foxandfriends  now!,34,9.53614E+17,1/17/2018 13:04,Twitter for iPhone,54454,6719,0
195,"....we need to keep America safe, including moving away from a random chain migration and lottery system, to one th… https://t.co/wMQB8vJ3Cs",140,9.53407E+17,1/16/2018 23:20,Twitter for iPhone,81716,19007,0
196,New report from DOJ &amp; DHS shows that nearly 3 in 4 individuals convicted of terrorism-related charges are foreign-b… https://t.co/9F2yHphpOi,144,9.53406E+17,1/16/2018 23:19,Twitter for iPhone,100025,25754,1
197,"Today, it was my honor to welcome President Nursultan Nazarbayev of Kazakhstan to the @WhiteHouse! https://t.co/TerYFZViax",122,9.53361E+17,1/16/2018 20:17,Twitter for iPhone,56035,9929,1
198,"“President Donald J. Trump Proclaims January 16, 2018, as Religious Freedom Day” https://t.co/bD3R2dJfyp",104,9.53352E+17,1/16/2018 19:43,Twitter for iPhone,73863,19528,0
199,Unemployment for Black Americans is the lowest ever recorded. Trump approval ratings with Black Americans has doubl… https://t.co/T5tmchLiz8,140,9.53273E+17,1/16/2018 14:30,Twitter for iPhone,113210,28060,-1
